iter	Passed	Remaining
0	1	102
1	1	91
2	2	90
3	3	81
4	4	80
5	5	80
6	5	77
7	6	77
8	7	76
9	8	75
10	9	73
11	9	73
12	10	71
13	11	71
14	12	70
15	13	70
16	14	70
17	15	69
18	16	68
19	17	71
20	18	70
21	19	69
22	20	68
23	21	68
24	22	67
25	23	67
26	24	66
27	25	65
28	26	64
29	27	63
30	28	62
31	29	61
32	30	61
33	31	60
34	32	59
35	33	58
36	33	57
37	35	57
38	36	56
39	37	55
40	37	54
41	38	52
42	39	51
43	40	51
44	41	50
45	41	49
46	42	48
47	43	47
48	45	46
49	46	46
50	47	45
51	48	44
52	48	43
53	49	42
54	50	41
55	51	40
56	52	39
57	54	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	34
63	60	33
64	61	32
65	61	31
66	62	31
67	63	30
68	64	29
69	65	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	77	16
82	77	15
83	78	14
84	79	14
85	80	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	86	7
92	88	6
93	89	5
94	90	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
