iter	Passed	Remaining
0	1	1121
1	2	1205
2	3	1251
3	5	1313
4	6	1285
5	7	1273
6	8	1264
7	10	1268
8	11	1243
9	12	1210
10	13	1192
11	14	1167
12	15	1146
13	16	1145
14	17	1134
15	18	1141
16	19	1151
17	21	1150
18	22	1145
19	23	1153
20	24	1148
21	25	1154
22	26	1137
23	28	1146
24	29	1138
25	30	1134
26	31	1132
27	32	1121
28	33	1137
29	35	1144
30	36	1139
31	37	1137
32	38	1133
33	39	1132
34	40	1124
35	41	1116
36	42	1110
37	43	1105
38	44	1099
39	45	1096
40	46	1095
41	47	1092
42	49	1098
43	50	1094
44	52	1121
45	54	1127
46	55	1128
47	56	1128
48	58	1127
49	59	1130
50	60	1127
51	61	1130
52	63	1130
53	64	1132
54	65	1132
55	67	1130
56	68	1137
57	70	1139
58	71	1136
59	72	1131
60	73	1130
61	74	1124
62	75	1123
63	76	1121
64	78	1124
65	79	1127
66	80	1127
67	82	1123
68	83	1121
69	84	1119
70	85	1117
71	86	1116
72	87	1115
73	88	1111
74	90	1110
75	91	1108
76	92	1107
77	93	1109
78	94	1106
79	96	1105
80	97	1101
81	98	1101
82	98	1093
83	100	1091
84	101	1088
85	102	1085
86	103	1082
87	104	1079
88	105	1077
89	106	1079
90	108	1088
91	110	1087
92	111	1083
93	112	1083
94	113	1081
95	114	1079
96	115	1076
97	116	1074
98	117	1070
99	118	1068
100	119	1065
101	121	1071
102	123	1072
103	124	1071
104	125	1070
105	126	1068
106	127	1067
107	128	1064
108	130	1063
109	131	1061
110	132	1061
111	133	1058
112	134	1058
113	136	1059
114	137	1060
115	138	1058
116	139	1055
117	141	1057
118	142	1055
119	143	1053
120	144	1052
121	145	1048
122	146	1046
123	147	1045
124	149	1045
125	151	1048
126	152	1048
127	154	1049
128	155	1048
129	156	1047
130	157	1047
131	159	1046
132	160	1044
133	161	1042
134	162	1041
135	164	1044
136	166	1046
137	167	1047
138	168	1044
139	170	1044
140	171	1042
141	172	1039
142	173	1038
143	174	1035
144	175	1033
145	176	1033
146	177	1031
147	178	1029
148	180	1028
149	181	1027
150	182	1026
151	183	1024
152	184	1023
153	185	1021
154	187	1019
155	188	1017
156	189	1015
157	190	1014
158	191	1013
159	192	1011
160	193	1008
161	195	1008
162	196	1008
163	197	1006
164	198	1005
165	199	1004
166	200	1002
167	202	1000
168	203	998
169	204	997
170	205	995
171	206	993
172	207	991
173	208	989
174	209	987
175	211	987
176	212	986
177	213	984
178	217	999
179	218	996
180	220	995
181	221	993
182	222	992
183	223	990
184	224	989
185	226	989
186	227	987
187	228	986
188	229	984
189	230	982
190	231	980
191	232	979
192	234	982
193	236	981
194	237	981
195	239	981
196	240	981
197	242	982
198	243	981
199	245	981
200	246	979
201	247	977
202	248	976
203	249	974
204	250	972
205	251	970
206	252	968
207	254	968
208	256	969
209	258	971
210	259	969
211	261	970
212	262	971
213	264	969
214	265	968
215	266	966
216	267	965
217	268	964
218	270	963
219	272	965
220	273	965
221	275	964
222	276	962
223	277	962
224	279	962
225	280	961
226	282	960
227	283	958
228	285	960
229	287	961
230	288	960
231	289	959
232	290	957
233	292	956
234	293	954
235	294	953
236	295	951
237	296	949
238	298	948
239	300	951
240	302	953
241	303	951
242	305	951
243	306	949
244	307	948
245	308	946
246	310	946
247	312	948
248	315	951
249	317	952
250	319	952
251	320	952
252	322	951
253	323	949
254	324	949
255	326	948
256	329	951
257	331	952
258	333	953
259	334	952
260	336	951
261	337	951
262	340	955
263	342	956
264	345	957
265	346	956
266	348	955
267	349	953
268	350	952
269	351	950
270	353	949
271	354	949
272	356	949
273	358	949
274	360	949
275	361	948
276	362	947
277	364	946
278	365	945
279	367	945
280	369	944
281	371	945
282	372	944
283	373	942
284	375	941
285	376	939
286	377	937
287	378	935
288	380	935
289	381	934
290	383	933
291	384	933
292	386	931
293	387	929
294	388	928
295	389	926
296	390	924
297	391	922
298	393	921
299	396	924
300	398	924
301	399	923
302	401	922
303	402	920
304	403	919
305	404	917
306	405	916
307	406	914
308	408	912
309	409	911
310	410	909
311	411	907
312	412	906
313	414	904
314	415	903
315	416	902
316	417	900
317	419	899
318	421	899
319	422	897
320	423	896
321	424	893
322	425	892
323	426	890
324	428	889
325	429	888
326	430	886
327	431	884
328	432	882
329	434	882
330	435	880
331	436	878
332	437	877
333	439	875
334	440	873
335	441	872
336	442	871
337	444	869
338	445	868
339	446	866
340	448	865
341	449	863
342	450	862
343	451	860
344	452	859
345	453	857
346	455	856
347	456	854
348	457	853
349	459	852
350	460	850
351	461	849
352	462	848
353	464	847
354	465	845
355	466	843
356	467	841
357	468	840
358	469	838
359	470	836
360	471	835
361	473	835
362	474	833
363	476	833
364	477	831
365	479	830
366	480	828
367	481	827
368	483	827
369	484	825
370	486	823
371	487	823
372	488	821
373	491	821
374	492	820
375	493	818
376	494	817
377	495	815
378	496	814
379	497	812
380	499	810
381	500	809
382	501	808
383	503	807
384	504	805
385	505	804
386	506	802
387	507	800
388	509	799
389	510	797
390	511	796
391	512	794
392	513	792
393	514	791
394	515	789
395	517	788
396	518	787
397	519	786
398	520	784
399	522	783
400	523	781
401	524	779
402	525	778
403	526	776
404	527	774
405	528	773
406	529	771
407	530	769
408	532	768
409	533	767
410	534	765
411	535	764
412	536	762
413	537	760
414	538	759
415	539	757
416	540	756
417	541	754
418	542	752
419	544	751
420	545	749
421	546	748
422	547	746
423	548	745
424	549	743
425	550	742
426	551	740
427	552	738
428	554	737
429	555	735
430	556	734
431	557	733
432	558	731
433	560	730
434	562	730
435	563	728
436	564	727
437	565	725
438	566	723
439	567	722
440	569	721
441	570	720
442	571	718
443	572	717
444	573	715
445	575	714
446	576	713
447	577	711
448	578	710
449	579	708
450	581	707
451	582	705
452	583	704
453	584	703
454	586	702
455	587	700
456	588	698
457	589	697
458	590	696
459	591	694
460	592	692
461	593	691
462	594	689
463	595	688
464	597	686
465	598	685
466	599	683
467	600	682
468	601	680
469	602	679
470	603	677
471	604	676
472	605	675
473	606	673
474	608	672
475	609	671
476	611	670
477	613	669
478	614	668
479	615	666
480	617	665
481	618	664
482	620	663
483	621	662
484	622	660
485	623	659
486	624	658
487	625	656
488	626	655
489	627	653
490	629	652
491	630	650
492	631	649
493	632	647
494	633	646
495	634	645
496	636	643
497	637	642
498	638	641
499	639	639
500	641	638
501	642	637
502	643	636
503	645	634
504	646	633
